Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16774.1085,NA,6.02250000000000,6.95130000000000,0.41960000000000,3.46620000000000,11.8744,16768.5173,6.0108,5.5912,0.4196,5.3507,3.7067,3.4953,0.2114,1.7927,16768.5173,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16780.4326,NA,6.32410000000000,6.94310000000000,0.52580000000000,3.36680000000000,12.4934,16774.5281,6.4303,5.9045,0.5258,5.5386,3.7327,3.5082,0.2245,-0.9323,16774.5281,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16789.5030,NA,9.07040000000000,6.95550000000000,0.41730000000000,3.31530000000000,10.3785,16780.9584,8.9619,8.5446,0.4173,8.1728,3.6871,3.5154,0.1717,-0.5252,16780.9584,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16795.7064,NA,6.20340000000000,6.93720000000000,0.42890000000000,3.67290000000000,11.1123,16789.9203,6.2150,5.7861,0.4289,5.6388,3.8202,3.5659,0.2543,2.0247,16789.9203,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16805.0110,NA,9.30460000000000,6.94940000000000,0.37570000000000,3.25240000000000,8.7571,16796.1353,9.2514,8.8757,0.3757,4.4089,7.7192,3.9414,3.7778,-0.7344,16796.1353,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16811.8029,NA,6.79190000000000,13.90270000000000,0.38540000000000,3.53880000000000,15.8679,16805.3867,6.8016,6.4162,0.3854,6.2209,3.7341,3.5033,0.2308,-4.6513,16805.3867,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16821.9951,NA,10.19220000000000,6.97390000000000,0.39910000000000,3.30430000000000,12.6496,16812.1883,10.2059,9.8068,0.3991,9.6110,3.5001,3.2664,0.2337,-0.1723,16812.1883,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16828.6636,NA,6.66850000000000,6.91800000000000,0.36190000000000,3.44630000000000,12.8991,16822.3942,6.6313,6.2694,0.3619,6.0415,3.6742,3.5003,0.1739,3.2879,16822.3942,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16834.8232,NA,6.15960000000000,6.94830000000000,0.70100000000000,2.70250000000000,13.6878,16829.0255,6.4987,5.7977,0.7010,4.7468,3.7534,3.5114,0.2420,-0.3170,16829.0255,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16842.5965,NA,7.77330000000000,6.97320000000000,0.43300000000000,3.57780000000000,12.8877,16835.5242,7.5053,7.0723,0.4330,6.8567,3.7934,3.4976,0.2958,-0.4745,16835.5242,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16849.1379,NA,6.54140000000000,6.93710000000000,0.41140000000000,3.45210000000000,13.2834,16843.0295,6.5198,6.1084,0.4114,5.7974,3.7631,3.4809,0.2822,0.5682,16843.0295,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16856.1244,NA,6.98650000000000,6.93480000000000,0.47810000000000,3.56150000000000,13.2317,16849.5493,7.0532,6.5751,0.4781,6.3391,3.7975,3.5062,0.2913,-0.4150,16849.5493,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16861.7351,NA,5.61070000000000,6.96000000000000,0.58730000000000,3.63060000000000,14.5810,16856.6025,5.7199,5.1326,0.5873,5.0895,3.6737,3.5076,0.1661,0.0932,16856.6025,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16872.4354,NA,10.70030000000000,6.95910000000000,0.47950000000000,2.63040000000000,10.8398,16862.3224,10.5925,10.1130,0.4795,5.0139,7.7295,3.6962,4.0333,-1.2392,16862.3224,NA,NA,NA
